GROSS STATE DOMESTIC PRODUCT AT CONSTANT (2011-12) PRICES; BASE YEAR 2011-12,,,,,,,,,,,,,,,,,,,,,,,,
,As on 15.03.2023,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,GSDP - CONSTANT PRICES (in Crores),,,,,,,,,,,,(% Growth over previous year),,,,,,,,,,
S. No.,State\UT,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
(1),(2),(3),(4),(5),(6),(7),(8'),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
1,Andhra Pradesh ,379402,380629,407115,444564,498606,540212,594737,626614,649810,633720,704889,754338,0.32,6.96,9.20,12.16,8.34,10.09,5.36,3.70,-2.48,11.23,7.02
2,Arunachal Pradesh,11063,11299,12339,14383,14240,14893,15572,16668,19137,18592,20283,NA,2.14,9.21,16.56,-0.99,4.58,4.56,7.04,14.81,-2.84,9.10,NA
3,Assam,143175,147342,154525,165212,191109,202081,219919,231040,240707,242946,262523,289192,2.91,4.88,6.92,15.67,5.74,8.83,5.06,4.18,0.93,8.06,10.16
4,Bihar,247144,256851,269650,279482,296488,318797,344028,381383,398283,385728,428065,NA,3.93,4.98,3.65,6.08,7.52,7.91,10.86,4.43,-3.15,10.98,NA
5,Chhattisgarh,158074,165977,182580,185813,190584,213705,220136,244579,251325,246804,267681,289082,5.00,10.00,1.77,2.57,12.13,3.01,11.10,2.76,-1.80,8.46,8.00
6,Goa,42367,35850,31568,40116,46091,51249,52653,53063,54812,53360,55548,NA,-15.38,-11.94,27.08,14.89,11.19,2.74,0.78,3.30,-2.65,4.10,NA
7,Gujarat,615606,682650,734284,811428,894465,981342,1086570,1183020,1265277,1248189,1382530,NA,10.89,7.56,10.51,10.23,9.71,10.72,8.88,6.95,-1.35,10.76,NA
8,Haryana,297539,320912,347507,370535,413405,456709,482036,532996,544275,510306,568086,608420,7.86,8.29,6.63,11.57,10.48,5.55,10.57,2.12,-6.24,11.32,7.10
9,Himachal Pradesh,72720,77384,82847,89060,96274,103055,109406,116411,121168,114814,124400,NA,6.41,7.06,7.50,8.10,7.04,6.16,6.40,4.09,-5.24,8.35,NA
10,Jammu & Kashmir*,78256,80767,85115,82372,97001,100199,106624,115062,NA,NA,NA,NA,3.21,5.38,-3.22,17.76,3.30,6.41,7.91,NA,NA,NA,NA
11,Jharkhand,150918,163250,165816,186534,174881,193174,210587,229274,231755,218962,236816,NA,8.17,1.57,12.49,-6.25,10.46,9.01,8.87,1.08,-5.52,8.15,NA
12,Karnataka,606010,643033,704466,748429,831330,941774,1019708,1085101,1148806,1108212,1229713,1326319,6.11,9.55,6.24,11.08,13.29,8.28,6.41,5.87,-3.53,10.96,7.86
13,Kerala,364048,387693,402781,419956,451210,485302,516190,554228,559194,512076,573591,NA,6.50,3.89,4.26,7.44,7.56,6.36,7.37,0.90,-8.43,12.01,NA
14,Madhya Pradesh,315562,351683,365134,383944,418736,470669,497102,543272,567525,543935,600689,643124,11.45,3.82,5.15,9.06,12.40,5.62,9.29,4.46,-4.16,10.43,7.06
15,Maharashtra,1280369,1357942,1451615,1543165,1654284,1807046,1888706,1957381,2004663,1858370,2027971,NA,6.06,6.90,6.31,7.20,9.23,4.52,3.64,2.42,-7.30,9.13,NA
16,Manipur,12915,12993,14115,15245,16424,17082,18751,18262,19187,19053,19385,NA,0.61,8.64,8.00,7.73,4.01,9.77,-2.61,5.06,-0.70,1.74,NA
17,Meghalaya,19918,20354,20726,20140,20638,21730,22564,23719,24923,23751,25697,28024,2.19,1.83,-2.82,2.47,5.29,3.84,5.12,5.08,-4.71,8.19,9.06
18,Mizoram,7259,7778,9038,11261,12324,13595,14758,16100,17884,16689,16128,NA,7.15,16.21,24.59,9.44,10.32,8.55,9.10,11.08,-6.68,-3.37,NA
19,Nagaland,12177,12868,13793,14399,14660,15650,16440,16868,18477,18621,20315,NA,5.68,7.19,4.39,1.82,6.75,5.05,2.60,9.54,0.78,9.10,NA
20,Odisha,230987,243363,265892,270665,292229,337348,361117,386733,397786,378075,421719,454682,5.36,9.26,1.80,7.97,15.44,7.05,7.09,2.86,-4.96,11.54,7.82
21,Punjab,266628,280823,299450,312125,330052,352721,375406,397019,413295,398343,423417,449162,5.32,6.63,4.23,5.74,6.87,6.43,5.76,4.10,-3.62,6.29,6.08
22,Rajasthan,434837,454564,486230,521509,563340,596746,628020,643278,676785,663515,738922,799449,4.54,6.97,7.26,8.02,5.93,5.24,2.43,5.21,-1.96,11.36,8.19
23,Sikkim,11165,11421,12114,13071,14370,15397,17673,18625,19492,19040,20672,NA,2.29,6.07,7.90,9.93,7.15,14.78,5.38,4.66,-2.32,8.57,NA
24,Tamil Nadu,751486,791824,851976,893915,967562,1036762,1125793,1204667,1243836,1245595,1345108,1453125,5.37,7.60,4.92,8.24,7.15,8.59,7.01,3.25,0.14,7.99,8.03
25,Telangana,359434,370113,389957,416332,464542,507946,557410,608401,640968,597206,660660,710610,2.97,5.36,6.76,11.58,9.34,9.74,9.15,5.35,-6.83,10.63,7.56
